Surface Type,frosting time (min),Air Dry Bulb [C],RH,measured mass (g),frost mass (g),A (m^2),t (m),t (mm),V (m^3),Density (kg/m^3),porosity (-),Behavior,
Hydrophilic,60.0,22.0,0.45,1.1524,0.02585,3.11E-04,2.12E-03,2.12E+00,6.58E-07,3.93E+01,9.56E-01,Drain,
Hydrophilic,90.0,22.0,0.45,1.1857,0.05915,3.38E-04,2.51E-03,2.51E+00,8.50E-07,6.96E+01,9.23E-01,Drain,
Hydrophilic,120.0,22.0,0.45,1.2023,0.07575,3.11E-04,2.84E-03,2.84E+00,8.84E-07,8.57E+01,9.05E-01,Slough,
Hydrophilic,150.0,22.0,0.45,1.2183,0.09175,3.21E-04,3.04E-03,3.04E+00,9.74E-07,9.42E+01,8.95E-01,Slough,
Hydrophilic,180.0,22.0,0.45,1.2444,0.11785,3.44E-04,3.14E-03,3.14E+00,1.08E-06,1.09E+02,8.79E-01,Slough,
Hydrophilic,60.0,22.0,0.55,1.1831,0.05655,3.13E-04,2.51E-03,2.51E+00,7.87E-07,7.18E+01,9.20E-01,Drain,
Hydrophilic,90.0,22.0,0.55,1.1841,0.05755,3.19E-04,3.26E-03,3.26E+00,1.04E-06,5.54E+01,9.38E-01,Slough,
Hydrophilic,120.0,22.0,0.55,1.2635,0.13695,3.16E-04,3.65E-03,3.65E+00,1.15E-06,1.19E+02,8.68E-01,Slough,
Hydrophilic,150.0,22.0,0.55,1.2589,0.13235,3.22E-04,3.89E-03,3.89E+00,1.25E-06,1.06E+02,8.82E-01,Slough,
Hydrophilic,180.0,22.0,0.55,1.2905,0.16395,3.08E-04,4.09E-03,4.09E+00,1.26E-06,1.30E+02,8.55E-01,Slough,
Hydrophilic,10.0,12.0,0.83,1.1466,0.02005,4.06E-04,2.41E-03,2.41E+00,9.80E-07,2.05E+01,9.77E-01,Drain,
Hydrophilic,30.0,12.0,0.83,1.1702,0.04365,3.51E-04,3.14E-03,3.14E+00,1.10E-06,3.96E+01,9.56E-01,Drain,
Hydrophilic,55.0,12.0,0.83,1.2312,0.10465,2.99E-04,3.40E-03,3.40E+00,1.02E-06,1.03E+02,8.86E-01,Slough,
Superhydrophobic,10.0,12.0,0.63,1.1309,0.00435,4.37E-04,1.28E-03,1.28E+00,5.58E-07,7.79E+00,9.91E-01,Jump Off,
Superhydrophobic,20.0,12.0,0.63,1.1498,0.02325,4.67E-04,1.80E-03,1.80E+00,8.40E-07,2.77E+01,9.69E-01,Peel Off,
Superhydrophobic,30.0,12.0,0.63,1.1510,0.02445,3.83E-04,2.08E-03,2.08E+00,7.95E-07,3.08E+01,9.66E-01,Peel Off,
Superhydrophobic,45.0,12.0,0.63,1.1741,0.04755,4.16E-04,2.18E-03,2.18E+00,9.07E-07,5.24E+01,9.42E-01,Peel Off,
Superhydrophobic,90.0,12.0,0.63,1.1981,0.07155,3.39E-04,2.26E-03,2.26E+00,7.67E-07,9.32E+01,8.96E-01,Slough,
Superhydrophobic,10.0,12.0,0.83,1.1473,0.02075,2.84E-04,1.30E-03,1.30E+00,3.69E-07,5.62E+01,9.38E-01,Jump Off,
Superhydrophobic,15.0,12.0,0.83,1.1863,0.05975,3.93E-04,2.46E-03,2.46E+00,9.66E-07,6.19E+01,9.31E-01,Peel Off,
Superhydrophobic,35.0,12.0,0.83,1.2132,0.08665,3.94E-04,3.44E-03,3.44E+00,1.35E-06,6.41E+01,9.29E-01,Peel Off,
Superhydrophobic,60.0,12.0,0.83,1.2297,0.10315,3.05E-04,4.52E-03,4.52E+00,1.38E-06,7.50E+01,9.17E-01,Slough,
Superhydrophobic,90.0,12.0,0.83,1.2152,0.08865,3.00E-04,4.70E-03,4.70E+00,1.41E-06,6.29E+01,9.30E-01,Slough,